,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mahébourg,75,MU,1614818133,94,-20.4081,57.7,24.0,1.03
1,Arraial do Cabo,0,BR,1614818037,83,-22.9661,-42.0278,25.0,6.17
2,Ogaminana,68,NG,1614818134,75,7.5946,6.2248,24.36,2.19
3,Hilo,1,US,1614817993,44,19.7297,-155.09,26.0,5.14
4,Coquimbo,75,CL,1614817998,88,-29.9533,-71.3436,17.0,3.6
5,Hong Kong,82,HK,1614818069,85,22.2855,114.1577,18.89,5.18
6,Caravelas,8,BR,1614818135,87,-17.7125,-39.2481,23.98,2.16
7,Manaure,10,CO,1614818135,73,11.7751,-72.4445,25.61,8.44
8,Khanbari,0,NP,1614818135,38,27.3747,87.2039,12.41,1.74
9,Sept-Îles,20,CA,1614818135,52,50.2001,-66.3821,-11.0,4.12
10,Tucuruí,100,BR,1614817984,92,-3.7661,-49.6725,24.09,0.85
11,Cidreira,100,BR,1614818135,88,-30.1811,-50.2056,24.03,1.8
12,Punta Arenas,0,CL,1614818135,62,-53.15,-70.9167,12.0,6.69
13,Bosaso,56,SO,1614818135,84,11.2842,49.1816,23.48,1.54
14,Olafsvik,100,IS,1614818136,91,64.8945,-23.7142,4.79,7.74
15,Laas,0,IT,1614818136,74,46.6166,10.7002,5.0,2.57
16,Dikson,71,RU,1614817989,78,73.5069,80.5464,-31.69,4.54
17,Naze,75,JP,1614818059,55,28.3667,129.4833,19.0,6.17
18,Doclin,0,RO,1614818137,86,45.2969,21.6539,-3.0,1.03
19,Boguchany,100,RU,1614818137,84,58.3814,97.4531,-29.22,1.74
20,Tabat,100,ID,1614818137,70,-2.635,115.2274,28.24,0.41
21,Buala,99,SB,1614818137,81,-8.145,159.5921,27.16,3.98
22,Hithadhoo,25,MV,1614818138,60,-0.6,73.0833,28.3,4.06
23,Itaituba,75,BR,1614818138,100,-4.2761,-55.9836,23.0,0.59
24,Río Gallegos,20,AR,1614818138,76,-51.6226,-69.2181,12.0,8.75
25,Mazagão,75,BR,1614818138,89,-0.115,-51.2894,27.0,2.06
26,College,90,US,1614818138,78,64.8569,-147.8028,-16.11,1.35
27,Ribeira Grande,100,PT,1614818139,91,38.5167,-28.7,16.51,8.05
28,Mataura,60,NZ,1614818139,54,-46.1927,168.8643,16.67,2.24
29,Sur,0,OM,1614818139,48,22.5667,59.5289,24.19,1.61
30,Tefé,94,BR,1614818105,97,-3.3542,-64.7114,22.73,1.03
31,Hobart,75,AU,1614818030,37,-42.8794,147.3294,22.0,11.32
32,Saldanha,0,ZA,1614818053,88,-33.0117,17.9442,18.0,3.09
33,Watertown,90,US,1614818139,52,42.3709,-71.1828,7.0,3.6
34,Hasaki,75,JP,1614818140,61,35.7333,140.8333,8.0,3.6
35,Dryden,1,CA,1614818140,46,49.7833,-92.7503,-3.0,1.03
36,Hambantota,1,LK,1614818140,100,6.1241,81.1185,21.0,1.54
37,Viranşehir,27,TR,1614818140,65,37.2353,39.7631,9.32,6.48
38,Ushuaia,20,AR,1614818140,54,-54.8,-68.3,12.0,2.23
39,Severo-Kuril'sk,95,RU,1614817934,92,50.6789,156.125,-6.15,14.33
40,Cairns,40,AU,1614818141,62,-16.9167,145.7667,31.67,3.6
41,Mar del Plata,40,AR,1614818141,94,-38.0023,-57.5575,22.22,4.63
42,Rikitea,64,PF,1614818011,80,-23.1203,-134.9692,26.85,3.72
43,Ponta do Sol,40,PT,1614818045,68,32.6667,-17.1,15.0,0.45
44,Ulladulla,20,AU,1614818142,53,-35.35,150.4667,22.22,4.12
45,Werota,25,ET,1614818142,58,11.9167,37.7,19.12,0.46
46,Bluff,13,NZ,1614818143,54,-46.6,168.3333,16.67,2.24
47,Bredasdorp,44,ZA,1614818143,94,-34.5322,20.0403,19.0,1.03
48,Cherskiy,100,RU,1614817992,92,68.75,161.3,-20.84,5.23
49,Avarua,100,CK,1614818143,79,-21.2078,-159.775,29.0,2.57
50,Krasnosel'kup,100,RU,1614818143,93,65.7,82.4667,-16.72,9.2
51,Sittwe,55,MM,1614818144,91,20.15,92.9,21.05,2.53
52,Busselton,92,AU,1614818144,90,-33.65,115.3333,20.0,4.34
53,Carnarvon,60,AU,1614818144,100,-24.8667,113.6333,23.0,2.57
54,Upernavik,100,GL,1614818145,92,72.7868,-56.1549,-17.71,7.47
55,Levelland,20,US,1614818121,6,33.5873,-102.378,23.0,6.17
56,Tasiilaq,90,GL,1614818145,37,65.6145,-37.6368,0.0,3.09
57,Ancud,75,CL,1614818145,72,-41.8697,-73.8203,16.67,2.06
58,Chui,100,UY,1614818021,85,-33.6971,-53.4616,22.94,4.95
59,Atuona,18,PF,1614818145,70,-9.8,-139.0333,26.58,3.38
60,Sciacca,20,IT,1614818146,91,37.5082,13.0881,7.78,0.45
61,Port Alfred,90,ZA,1614818032,93,-33.5906,26.891,20.56,0.45
62,Auce,90,LV,1614818146,93,56.4598,22.9017,0.0,4.12
63,Faanui,100,PF,1614818146,67,-16.4833,-151.75,28.73,2.11
64,Marawi,0,PH,1614818146,78,7.9986,124.2928,26.11,2.68
65,Lüderitz,0,NA,1614818146,62,-26.6481,15.1594,20.49,5.76
66,Pilar,20,BR,1614817932,88,-9.5972,-35.9567,24.0,2.06
67,Kahului,40,US,1614818147,57,20.8947,-156.47,25.0,6.17
68,Shelbyville,1,US,1614818147,50,35.4834,-86.4603,11.0,1.05
69,Puerto Ayora,65,EC,1614817874,92,-0.7393,-90.3518,26.11,1.44
70,Argalastí,0,GR,1614818148,75,39.2333,23.2167,6.67,1.19
71,Bud,1,US,1614818148,47,39.447,-86.1758,13.0,4.12
72,Charters Towers,100,AU,1614818148,54,-20.1,146.2667,29.24,8.0
73,Pacific Grove,1,US,1614818148,63,36.6177,-121.9166,15.0,6.69
74,Seminole,20,US,1614817980,77,28.7086,-81.2081,17.78,6.17
75,Calvinia,0,ZA,1614818148,51,-31.4707,19.776,16.96,2.42
76,Longyearbyen,0,SJ,1614818149,61,78.2186,15.6401,-14.0,3.6
77,Thompson,40,CA,1614818019,68,55.7435,-97.8558,-7.0,1.54
78,Provideniya,0,RU,1614818149,71,64.3833,-173.3,-20.0,3.0
79,Katsuura,20,JP,1614818149,53,35.1333,140.3,10.56,3.09
80,Phonhong,75,LA,1614818150,100,18.5007,102.4166,21.0,2.06
81,Buckeye,20,US,1614818035,20,33.3703,-112.5838,22.0,12.35
82,Jamestown,40,US,1614818150,97,42.097,-79.2353,2.22,2.17
83,Khatanga,0,RU,1614818150,87,71.9667,102.5,-38.71,2.96
84,Manakara,80,MG,1614818151,90,-22.1333,48.0167,24.49,2.59
85,Srednekolymsk,100,RU,1614818151,85,67.45,153.6833,-31.72,7.87
86,Hirara,0,JP,1614818151,78,24.8,125.2833,22.0,3.6
87,New Norfolk,75,AU,1614818151,37,-42.7826,147.0587,22.0,11.32
88,Sawtell,90,AU,1614818151,78,-30.3833,153.1,21.11,3.09
89,Cape Town,75,ZA,1614818144,94,-33.9258,18.4232,20.0,5.66
90,East London,86,ZA,1614818152,85,-33.0153,27.9116,22.31,4.55
91,Saint-Philippe,0,RE,1614818040,78,-21.3585,55.7679,25.0,2.06
92,Grand Gaube,30,MU,1614818152,84,-20.0064,57.6608,23.89,4.69
93,Butaritari,37,KI,1614818134,81,3.0707,172.7902,27.52,7.16
94,Barrow,1,US,1614818152,69,71.2906,-156.7887,-27.0,3.6
95,Dingle,87,PH,1614818153,79,10.9995,122.6711,27.21,5.22
96,Hermanus,90,ZA,1614818012,89,-34.4187,19.2345,19.44,3.58
97,Nikolskoye,40,RU,1614818114,80,59.7035,30.7861,0.0,6.0
98,Coyhaique,20,CL,1614818119,67,-45.5752,-72.0662,16.0,1.54
99,Albany,90,US,1614818015,60,42.6001,-73.9662,4.0,3.6
100,Provincia di Imperia,0,IT,1614818154,100,43.9667,7.7833,10.0,1.43
101,Mirebalais,20,HT,1614818154,74,18.8333,-72.1053,27.0,3.6
